Instance,m,n,Size,Runtime_Setting_MS,Runtime_Setting_S,Repetitions,MinResult_PSO,AvgResult_PSO,StdResult_PSO,AvgTime_PSO,SuccessRuns_PSO,FailedRuns_PSO,FirstError_PSO
Inst_m2_n14_pi0.2_TF0.4_R0.4_1.txt,2,14,14×2,336.0000,0.3360,10,88.3100,88.3100,0.0000,0.3411,10,0,
Inst_m2_n14_pi0.2_TF0.4_R0.4_10.txt,2,14,14×2,336.0000,0.3360,10,116.0000,116.0000,0.0000,0.3391,10,0,
Inst_m2_n14_pi0.2_TF0.4_R0.4_2.txt,2,14,14×2,336.0000,0.3360,10,68.1000,68.1000,0.0000,0.3391,10,0,
Inst_m2_n14_pi0.2_TF0.4_R0.4_3.txt,2,14,14×2,336.0000,0.3360,10,193.8600,196.1600,4.6390,0.3387,10,0,
Inst_m2_n14_pi0.2_TF0.4_R0.4_4.txt,2,14,14×2,336.0000,0.3360,10,124.7100,124.7100,0.0000,0.3387,10,0,
Inst_m2_n14_pi0.2_TF0.4_R0.4_5.txt,2,14,14×2,336.0000,0.3360,10,214.6200,214.6200,0.0000,0.3401,10,0,
Inst_m2_n14_pi0.2_TF0.4_R0.4_6.txt,2,14,14×2,336.0000,0.3360,10,109.7000,109.7000,0.0000,0.3401,10,0,
Inst_m2_n14_pi0.2_TF0.4_R0.4_7.txt,2,14,14×2,336.0000,0.3360,10,142.5600,142.5600,0.0000,0.3401,10,0,
Inst_m2_n14_pi0.2_TF0.4_R0.4_8.txt,2,14,14×2,336.0000,0.3360,10,513.7000,527.3480,21.9838,0.3382,10,0,
Inst_m2_n14_pi0.2_TF0.4_R0.4_9.txt,2,14,14×2,336.0000,0.3360,10,477.2900,477.2900,0.0000,0.3378,10,0,
